,model,positive,negative
0,product--smartfon-xiaomi-redmi-note-13-pro-4g,"['различных коммуникаций', 'радость', 'работает']","['тебе написали', 'пришлось заказывать', 'перезагрузила тлф', 'обнаружено ..', 'нареканий ..', 'многими аналогами', 'ватс апе', 'ватс ап', 'алиэкспресса ).', 'уведомления', 'уведомление', 'т', 'сравнении', 'работает', 'работает', 'пришло', 'приходят', 'пока', 'пока', 'пока', 'пока', 'пока', 'пока', 'пока', 'определены', 'обнаружил', 'обнаружены', 'нету', 'недостатков', 'нашел', 'найдено', 'какое', 'заходишь', 'заметил', 'е', 'думаю', 'выявлено', 'возможно']"
1,product--smartfon-xiaomi-redmi-note-13-4g,"['хорошая эргономика', 'плавный экран', 'неплохая камера', 'классный дизайн', 'большая батарея', 'яркий']","['фото придожил', 'потеет камера', 'берешь трубку', 'note 12', 'устраивает', 'увидели', 'т', 'сначала', 'слышат', 'процессор', 'производительность', 'помогает', 'пока', 'пока', 'пока', 'перезагрузка', 'однако', 'обнаружила', 'нашлось', 'нажимается', 'нажатии', 'изменилась', 'звонке', 'заметил', 'зависает', 'е']"
2,product--smartfon-xiaomi-redmi-note-13-pro-5g,['круто'],"['цена предложение', 'пока', 'пока', 'пока', 'обнаружил', 'обнаружил', 'нашел', 'выявлены', 'выявил', 'баланс']"
3,product--smartfon-xiaomi-poco-f5,[],"['хайпер ос', 'самая лучшая', 'самая лучшая', 'реально тёплый', 'пришлось привыкать', 'позвонил бывшей', 'окружающий свет', 'нашёл программы', 'наоборот убираешь', 'месяц использования', 'кармана одежды', 'деньги пойдет', 'греется сильно', 'выя вил', 'вторые руки', 'вообще нету', 'белыми линиями', 'батарейку хотелось', 'увидел ..', 'капризничаю ..', '.. продажа', 'фронтальная камера', 'слабовата камера', 'камера слабовата', 'камера бюджетная', '..', 'камера', 'камера', 'это', 'это', 'цена', 'удивляться', 'увидеть', 'тяжелой', 'толком', 'терпимо', 'случайно', 'слота', 'скорее', 'рст', 'размеру', 'разблокировать', 'разблокированным', 'пользовании', 'пока', 'подключения', 'поддерживается', 'побольше', 'переходник', 'общем', 'обнаружил', 'обнаружил', 'недостаток', 'нашла', 'кармане', 'горячий', 'выявил', 'выявил', 'lan']"
4,product--smartfon-xiaomi-poco-x6-pro,"['удобный', 'протестировала', 'обзорах', 'лёгкий', 'довольна', 'всё', 'антуту']","['фоткать счётчики', 'скользкий чехол', 'рекламы ппц', 'обычный смартфон', 'обычного пользования', 'время использования', 'батарея держит', 'деньги сносно', 'обнаружил пока', 'пока', 'обнаружил', 'деньги', 'холоде', 'т', 'пару', 'обнаружено', 'нормальная', 'недостаток', 'недостатков', 'нашел', 'маркий', 'котиков', 'выявил', 'вряд', 'взгляд', '97']"
5,product--sim-karta-mts-bolshe-i-dr-tarify-vsia-rossiia-balans-300-rub,['спасибо'],"['проблема товара', 'пришлось топать', 'недостатки ?.', 'какие могут', 'дорогой тариф', 'доплатить придётся', 'долгая регистрация', 'десяти симок', 'баланс 300', '700 рублей', '300 подарочных', 'салон ..', 'обман ..', 'нету недостатков', '..', 'недостатков', 'это', 'хочешь', 'хочешь', 'хотя', 'тп', 'счете', 'связь', 'речь', 'продавца', 'очень', 'отлично', 'особо', 'одной', 'одна', 'обойти', 'обнаружил', 'нравится', 'недостатках', 'каких', 'звонка', 'заморочки', 'законодательство', 'завелась', 'активацией']"
6,product--redmi-note-12-4g,[],"['хозяйка довольна', 'подобрать чехол', 'брать оригинал', 'подтупливает камера', 'камера наверное', 'выявлено ..', 'камера', 'камера', 'выявлено', 'целом', 'трудно', 'тиховат', 'пока', 'пока', 'пока', 'очень', 'очень', 'ожидать', 'обнаружили', 'обнаружил', 'обнаружил', 'обнаружены', 'обнаружено', 'обнаружено', 'обнаружено', 'обнаружено', 'обнаружено', 'нашёл', 'деньги', 'выявили', 'бюджетника']"
7,product--smartfon-samsung-galaxy-a54-5g,"['функционал достаточный', 'отличный телефон', 'камера супер', 'доставка быстрая', 'шнур', 'комплекте', 'зарядки']","['слабоват зарядка', 'самсунг пей', 'распечатанной коробке', 'равно дороговато', 'параллельный импорт', 'параллельном импорте', 'официальная поставка', 'отлично !.', 'долго думает', 'всякий подойдет', 'верить курьеру', 'блока зарядки', '5 разъема', 'экране ..', 'порядке ..', 'комплекте ..', '..', '👍.', 'это', 'таможне', 'страна', 'рф', 'работает', 'пришел', 'пока', 'пока', 'пока', 'пока', 'пожалуй', 'переходник', 'обнаружил', 'нету', 'недостатков', 'нашел', 'наушников', 'нареканий', 'малайзия', 'кабель', 'идёт', 'заметила', 'выявлено', 'выявил', 'вскрывается', 'адаптера', '3']"
8,product--smartfon-xiaomi-poco-m6-pro,"['отличный звук', 'быстрая зарядка', 'лёгкий']",[]
9,product--smartfon-apple-iphone-13,"['целыми пломбами', 'неактивированный', 'коробка']","['⛔ хотелось', 'чехол 😉😁😁😁', 'сетевого устройства', 'санкций нужно', 'рос тест', 'разьема 3', 'приобретя 8', 'официального магазина', 'одно слово', 'нём лазию', 'мире смартфонов', 'каждому свое', 'высокая цена', 'высокая цена', 'время использования', 'возможно вскрывали', 'блюпуп наушников', 'бедность комплектации', 'oled дисплей', 'iphone x', 'нету вообще', 'знаю почему', 'почему', 'нету', 'знаю', 'это', 'шокирован', 'флагмане', 'упаковка', 'увидев', 'танцевать', 'такого', 'стране', 'стоимость', 'россии', 'приложений', 'привыкаю', 'помята', 'пока', 'пожалуйста', 'обнаружил', 'обнаружено', 'непрочный', 'нашли', 'ку', 'коробке', 'капиталисты', 'кажется', 'кажется', 'зарядки', 'зарядке', 'доступных', 'должно', 'греется', 'границе', 'выявлены', 'всё', 'великоват', 'бубнами', 'андроиде', 'apple', '5']"
10,product--redmi-note-12-pro-4g,[],"['это минус', 'стандартного чехла', 'слабая вибрация', 'разъема зарядки', 'раза падал', 'просто отломать', 'приходят уведомления', 'приложения вшитые', 'практика показывает', 'почувствовать вибрацию', 'поиском чехла', 'переносе инфы', 'начале использования', 'наушники сверху', 'настроить камеру', 'наличии коцок', 'наверное цена', 'зарядка сломалась', 'долго ждать', 'деньги помощней', 'датчиком приближения', 'дальше посмотрим', 'дальнейшем её', 'выборе забыл', 'входящего вызова', 'быстро работает', 'беспроводную зарядку', 'батарея могла', 'арабских эмиратах', '50 мп', '5 день', '12 pro', 'приложений ..', 'обнаружено ..', 'нашел ..', 'бюджетного телефона', 'хотя макросъемка', 'фактических недостатков', 'заряжает телефон', 'вернула телефон', 'телефона ..', 'недостатки пока', '..', 'телефона', 'хотя', 'телефон', 'телефон', 'недостатков', 'пока', 'пока', 'пока', '🥲🤣.', 'трудности', 'сегмента', 'разы', 'проц', 'проблемы', 'проблема', 'поняла', 'получается', 'побольше', 'перенеслась', 'отрезать', 'ок', 'обнаружила', 'обнаружил', 'нужно', 'неудаляемые', 'несмотря', 'неплоха', 'нашёл', 'намокал', 'мегапиксели', 'кроме', 'критично', 'коробки', 'контринтуитивная', 'качество', 'камера', 'иначе', 'заметила', 'выявил', 'вход', 'вся', 'возможно', 'виноват', 'видна', 'беззвучно', 'redmi']"
11,product--smartfon-xiaomi-redmi-12,['отличный'],[]
12,product--smartfon-apple-iphone-15,['оригинал'],"['сделал проблемы', 'подвел курьер', 'имеющиеся провода', 'выявили недастатков', 'типа', 'советую', 'ребёнка', 'пока', 'обнаружила', 'кроме', 'коробке', 'заряжает', 'заряжает', 'выявлены', 'выявлено', 'выявлено', 'вообще', '..']"
13,product--12-lite,"['прост', 'обращении']","['целом хватает', 'слабовата батарея', 'рабочий день', 'это', 'проводить', 'пока', 'критично', 'выявлено', 'времени']"
